"Use For Go-Live? Y/N","Source Code","Item Name","Quote Unit","Customer Charge","Costing Shape","Material 1","Qty/Ratio 1","Material 2","Qty/Ratio 2","Material 3","Qty/Ratio 3","Making/Service Charge","Per Unit or Lump Sum","Stock Tracked?","Customer Supplied Possible?",Notes
,748,"Karahi Beef Live",,,,,,,,,,,,,,
,749,"Lemon Karahi Chicken",,,,,,,,,,,,,,
,757,"Kaleji Karahi Live",,,,,,,,,,,,,,
,758,"Kadhi Pakora",,,,,,,,,,,,,,
,762,"Karahi Mutton Peshawari",,,,,,,,,,,,,,
,765,"Chicken Tawa",,,,,,,,,,,,,,
,772,"Daal Gosht Chicken",,,,,,,,,,,,,,
,776,"Beef Karahi Shinwari",,,,,,,,,,,,,,
,779,"Gurda Mutton",,,,,,,,,,,,,,
,780,"Dil Mutton",,,,,,,,,,,,,,
,781,"Prawns Karahi",,,,,,,,,,,,,,
,783,"Chicken Karahi Shinwari",,,,,,,,,,,,,,
,786,"Extra Curry",,,,,,,,,,,,,,
,798,"Qorma Paneer",,,,,,,,,,,,,,
,832,"Beef Koila Karahi Live",,,,,,,,,,,,,,
,842,"Chicken Szechuan",,,,,,,,,,,,,,
,848,Narothay,,,,,,,,,,,,,,
,864,"Chicken Chilli Dry",,,,,,,,,,,,,,
,865,"Fish Karahi Live",,,,,,,,,,,,,,
,867,"Katakat Beef",,,,,,,,,,,,,,
,868,"Daal Makhni",,,,,,,,,,,,,,
,870,"White Qeema Stew Khade Masala",,,,,,,,,,,,,,
,56,"Aloo Tarkari",,,,,,,,,,,,,,
,457,"Afghani Boti Chicken",,,,,,,,,,,,,,
,871,"Kurkuri Bhindi",,,,,,,,,,,,,,
,874,"Dahi Walay Baingan",,,,,,,,,,,,,,
,586,"Mutton Iskandaria",,,,,,,,,,,,,,
,261,"Bihari Roll Beef",,,,,,,,,,,,,,
,878,"Lasooni Palak Paneer Dhaba",,,,,,,,,,,,,,
,885,"Qeema Dhabe Wala",,,,,,,,,,,,,,
,294,"Bihari Boti Beef",,,,,,,,,,,,,,
,50,"Bihari Kabab Beef",,,,,,,,,,,,,,
,894,"Mughlai Chicken Boneless",,,,,,,,,,,,,,
,911,"Makhni Handi Special Boneless",,,,,,,,,,,,,,
,118,"Boti Beef",,,,,,,,,,,,,,
,332,"Shashlik Boti Beef",,,,,,,,,,,,,,
,912,"Tawa Qeema Beef",,,,,,,,,,,,,,
,920,"Mongolian Beef",,,,,,,,,,,,,,
,71,"Bihari Chicken Drum",,,,,,,,,,,,,,
,585,"Chicken Stick Kabab Grilled",,,,,,,,,,,,,,
,921,"Hyderabadi Apollo Fish Fry",,,,,,,,,,,,,,
,923,"Aloo Ki Katliyan",,,,,,,,,,,,,,
,584,"Chicken Chanp Grill",,,,,,,,,,,,,,
,495,"Chandan Kabab",,,,,,,,,,,,,,
,106,"Biryani Chaat Masala",,,,,,,,,,,,,,
,49,"Bihari Chicken Boti Boneless",,,,,,,,,,,,,,
,929,"Karachi Ke Fry Kabab",,,,,,,,,,,,,,
,930,"Fry Daal Mash Street Style",,,,,,,,,,,,,,
,203,"Garlic Chicken",,,,,,,,,,,,,,
,459,"Kasturi Kabab Chicken",,,,,,,,,,,,,,
,934,"Ghuta Kabab",,,,,,,,,,,,,,
,935,"Jaipur Qorma Yellow Mirch",,,,,,,,,,,,,,
,221,"Malai Boti Chicken",,,,,,,,,,,,,,
,460,"Malai Tikka Chicken",,,,,,,,,,,,,,
,936,"Palak Matar Ki Sabzi",,,,,,,,,,,,,,
,938,"Hyderabadi Khatti Daal",,,,,,,,,,,,,,
,133,"Reshmi Kabab Chicken",,,,,,,,,,,,,,
,122,"Shashlik Chicken",,,,,,,,,,,,,,
,940,"Chatkara Masala Mutton",,,,,,,,,,,,,,
,941,"Mutton Boti Masala",,,,,,,,,,,,,,
,942,"Goan Style Chilli Aloo",,,,,,,,,,,,,,
,99,"Salam Tandoori Chicken",,,,,,,,,,,,,,
,123,"Chicken Tikka Boti",,,,,,,,,,,,,,
,962,"Tawa Boti Kabab Beef",,,,,,,,,,,,,,
,963,"Mutton Tawa Bhuna Masala",,,,,,,,,,,,,,
,369,"Tikka Chicken in Pieces",,,,,,,,,,,,,,
,330,"Dhaga Kabab Beef",,,,,,,,,,,,,,
,964,"Achari Aloo",,,,,,,,,,,,,,
,965,"Lucknowi Style Hari Mirch Qeema",,,,,,,,,,,,,,
,966,"Chilli Garlic Tawa Chicken",,,,,,,,,,,,,,
,462,"Dhaga Kabab Chicken",,,,,,,,,,,,,,
,967,"Prawn Ghee Roast",,,,,,,,,,,,,,
